CustomerID,CustomerName,Segment,Region
CUST00001,Customer 1,Corporate,South
CUST00002,Customer 2,Consumer,East
CUST00003,Customer 3,SMB,West
CUST00004,Customer 4,Corporate,North
CUST00005,Customer 5,Consumer,North
CUST00006,Customer 6,SMB,South
CUST00007,Customer 7,Corporate,West
CUST00008,Customer 8,Corporate,East
CUST00009,Customer 9,Consumer,West
CUST00010,Customer 10,Consumer,South
CUST00011,Customer 11,Consumer,South
CUST00012,Customer 12,SMB,East
CUST00013,Customer 13,Corporate,South
CUST00014,Customer 14,SMB,West
CUST00015,Customer 15,Consumer,North
CUST00016,Customer 16,Consumer,South
CUST00017,Customer 17,Corporate,East
CUST00018,Customer 18,Consumer,South
CUST00019,Customer 19,SMB,East
CUST00020,Customer 20,Corporate,South
CUST00021,Customer 21,Corporate,Central
CUST00022,Customer 22,Consumer,West
CUST00023,Customer 23,SMB,West
CUST00024,Customer 24,SMB,East
CUST00025,Customer 25,Corporate,East
CUST00026,Customer 26,Consumer,East
CUST00027,Customer 27,Consumer,South
CUST00028,Customer 28,Consumer,South
CUST00029,Customer 29,Consumer,East
CUST00030,Customer 30,Corporate,North
CUST00031,Customer 31,Corporate,North
CUST00032,Customer 32,SMB,West
CUST00033,Customer 33,Consumer,North
CUST00034,Customer 34,Consumer,East
CUST00035,Customer 35,Consumer,East
CUST00036,Customer 36,Consumer,North
CUST00037,Customer 37,Consumer,Central
CUST00038,Customer 38,Consumer,North
CUST00039,Customer 39,Consumer,Central
CUST00040,Customer 40,Corporate,West
CUST00041,Customer 41,Consumer,South
CUST00042,Customer 42,SMB,North
CUST00043,Customer 43,Corporate,South
CUST00044,Customer 44,Consumer,South
CUST00045,Customer 45,SMB,South
CUST00046,Customer 46,SMB,Central
CUST00047,Customer 47,Consumer,South
CUST00048,Customer 48,Consumer,West
CUST00049,Customer 49,Corporate,North
CUST00050,Customer 50,Consumer,Central
CUST00051,Customer 51,Consumer,South
CUST00052,Customer 52,Consumer,South
CUST00053,Customer 53,Corporate,East
CUST00054,Customer 54,Corporate,North
CUST00055,Customer 55,Corporate,West
CUST00056,Customer 56,Corporate,South
CUST00057,Customer 57,Consumer,East
CUST00058,Customer 58,Corporate,East
CUST00059,Customer 59,Consumer,East
CUST00060,Customer 60,Consumer,North
CUST00061,Customer 61,Corporate,North
CUST00062,Customer 62,Consumer,North
CUST00063,Customer 63,Corporate,South
CUST00064,Customer 64,Corporate,North
CUST00065,Customer 65,Corporate,Central
CUST00066,Customer 66,Corporate,East
CUST00067,Customer 67,Corporate,East
CUST00068,Customer 68,Consumer,South
CUST00069,Customer 69,Consumer,South
CUST00070,Customer 70,Consumer,East
CUST00071,Customer 71,Consumer,South
CUST00072,Customer 72,Consumer,South
CUST00073,Customer 73,SMB,South
CUST00074,Customer 74,Consumer,East
CUST00075,Customer 75,Consumer,Central
