OrderID,OrderDate,CustomerID,ProductID,Quantity,DiscountPct,UnitPrice,Region
ORD000001,2025-04-21,CUST02684,PROD0181,3,0.2444,687.5,West
ORD000002,2024-07-22,CUST03461,PROD0368,6,0.1831,169.62,Central
ORD000003,2025-02-21,CUST01386,PROD0446,-10,0.1531,1102.86,West
ORD000004,2024-07-23,CUST00272,PROD0457,12,0.0128,1249.85,West
ORD000005,2025-12-29,CUST03521,PROD0142,14,0.1627,1156.11,East
ORD000006,2024-05-30,CUST02257,PROD0490,10,0.1809,1580.52,South
ORD000007,2025-05-22,CUST04631,PROD0200,4,0.0813,1032.16,West
ORD000008,2024-11-02,CUST01485,PROD0073,-7,0.0903,839.71,Central
ORD000009,2025-05-28,CUST01105,PROD0368,11,0.0609,169.62,South
ORD000010,2025-08-28,CUST03805,PROD0365,9,0.125,940.45,West
ORD000011,2023-09-06,CUST02661,PROD0027,13,0.1609,1101.14,South
ORD000012,2023-11-27,CUST00750,PROD0049,1,0.0378,830.24,Central
ORD000013,2023-11-27,CUST03207,PROD0031,13,0.1216,1026.83,South
ORD000014,2024-06-17,CUST04414,PROD0453,3,0.173,563.88,Central
ORD000015,2024-06-23,CUST03138,PROD0016,4,0.1246,336.21,North
ORD000016,2023-01-04,CUST03649,PROD0064,4,0.2225,311.22,South
ORD000017,2025-09-08,CUST00830,PROD0388,-1,0.1748,1480.83,West
ORD000018,2025-07-31,CUST02930,PROD0008,11,0.2217,210.55,West
ORD000019,2024-10-20,CUST03461,PROD0095,-3,0.0566,942.27,Central
ORD000020,2023-12-02,CUST02807,PROD0098,9,0.0241,843.01,West
ORD000021,2025-06-24,CUST04696,PROD0131,9,0.1054,268.77,South
ORD000022,2023-10-25,CUST04760,PROD0066,7,0.2499,647.49,South
ORD000023,2023-12-02,CUST02701,PROD0408,12,0.1478,96.79,North
ORD000024,2025-12-29,CUST04319,PROD0067,11,0.1173,399.68,West
ORD000025,2025-10-09,CUST00385,PROD0157,14,0.1845,1351.12,South
ORD000026,2024-10-02,CUST04610,PROD0382,10,0.1038,1113.35,South
ORD000027,2023-07-05,CUST00747,PROD0109,7,0.0356,1418.94,North
ORD000028,2023-05-15,CUST04112,PROD0324,11,0.1195,847.04,South
ORD000029,2025-11-22,CUST02230,PROD0157,13,0.1732,1351.12,Central
ORD000030,2023-10-19,CUST01754,PROD0014,4,0.1417,594.97,Central
ORD000031,2025-01-16,CUST04211,PROD0335,6,0.021,437.01,Central
ORD000032,2024-01-23,CUST00849,PROD0195,6,0.0334,1320.1,North
ORD000033,2024-06-28,CUST02885,PROD0397,3,0.1496,608.44,North
ORD000034,2025-12-16,CUST01491,PROD0248,4,0.2374,1301.77,South
ORD000035,2024-10-11,CUST01324,PROD0130,5,0.038,1124.81,North
ORD000036,2024-04-16,CUST04809,PROD0200,12,0.219,1032.16,South
ORD000037,2024-03-31,CUST00815,PROD0438,2,0.1331,843.13,East
ORD000038,2023-09-10,CUST04819,PROD0083,3,0.2274,685.26,South
ORD000039,2024-09-01,CUST00136,PROD0361,4,0.1857,765.36,East
ORD000040,2024-09-16,CUST01019,PROD0378,1,0.1033,716.51,West
ORD000041,2023-04-15,CUST01875,PROD0086,3,0.0183,1381.14,South
ORD000042,2024-03-19,CUST01132,PROD0189,13,0.2343,661.53,East
ORD000043,2024-12-07,CUST01300,PROD0278,9,0.1386,616.38,Central
ORD000044,2023-03-02,CUST03290,PROD0025,5,0.1908,1200.06,South
ORD000045,2025-12-06,CUST00303,PROD0142,4,0.1539,1156.11,West
ORD000046,2025-08-01,CUST02768,PROD0452,8,0.0207,1831.39,South
ORD000047,2024-11-29,CUST02033,PROD0378,4,0.0449,716.51,South
ORD000048,2023-01-18,CUST02823,PROD0222,11,0.114,523.17,South
ORD000049,2024-07-21,CUST01735,PROD0046,4,0.0051,1540.79,North
ORD000050,2025-09-11,CUST04536,PROD0196,12,0.0824,248.16,South
ORD000051,2023-01-25,CUST01653,PROD0234,3,0.1089,1804.08,East
ORD000052,2025-05-17,CUST02786,PROD0311,13,0.0005,611.65,Central
ORD000053,2025-07-08,CUST02190,PROD0034,8,0.1395,1151.93,East
ORD000054,2023-03-25,CUST02902,PROD0120,3,0.1747,1336.34,East
ORD000055,2023-09-10,CUST01983,PROD0069,14,0.2444,525.75,South
ORD000056,2025-03-04,CUST03307,PROD0216,9,0.2082,393.54,West
ORD000057,2025-09-26,CUST01025,PROD0375,11,0.0512,1173.68,West
ORD000058,2025-04-24,CUST02553,PROD0264,13,0.1099,1138.89,South
ORD000059,2024-07-30,CUST04260,PROD0176,11,0.2465,925.0,South
ORD000060,2024-10-22,CUST02908,PROD0167,12,0.2056,369.57,West
ORD000061,2024-07-29,CUST01011,PROD0004,13,0.0075,1237.5,West
ORD000062,2024-09-25,CUST03734,PROD0382,7,0.0946,1113.35,South
ORD000063,2025-04-24,CUST01596,PROD0030,9,0.0555,1022.81,South
ORD000064,2023-02-24,CUST04577,PROD0022,10,0.0105,1463.4,North
ORD000065,2023-08-18,CUST04127,PROD0269,10,0.204,945.15,South
ORD000066,2023-03-07,CUST04661,PROD0229,11,0.0188,1338.84,South
ORD000067,2025-05-22,CUST04179,PROD0009,13,0.0539,86.25,West
ORD000068,2025-03-08,CUST03340,PROD0178,10,0.0989,1312.82,West
ORD000069,2023-02-28,CUST03306,PROD0181,10,0.1846,687.5,North
ORD000070,2023-04-26,CUST01344,PROD0500,6,0.0085,1334.72,South
ORD000071,2023-10-18,CUST01853,PROD0226,1,0.1958,1335.4,West
ORD000072,2023-09-23,CUST04336,PROD0421,2,0.2214,954.72,West
ORD000073,2024-07-23,CUST03092,PROD0040,3,0.1886,1773.56,North
ORD000074,2024-06-30,CUST03470,PROD0429,6,0.205,1070.27,South
