ProductID,ProductName,Category,UnitCost,UnitPrice
PROD0001,Product 1,Accessories,354.7,713.9
PROD0002,Product 2,Accessories,84.92,109.46
PROD0003,Product 3,Electronics,187.09,390.14
PROD0004,Product 4,Electronics,570.24,1237.5
PROD0005,Product 5,Furniture,706.59,1381.42
PROD0006,Product 6,Electronics,690.2,941.38
PROD0007,Product 7,Furniture,541.97,1093.16
PROD0008,Product 8,Software,112.89,210.55
PROD0009,Product 9,Electronics,54.87,86.25
PROD0010,Product 10,Furniture,712.64,1489.3
PROD0011,Product 11,Accessories,512.46,915.91
PROD0012,Product 12,Office Supplies,713.13,1469.25
PROD0013,Product 13,Electronics,180.0,339.59
PROD0014,Product 14,Electronics,390.38,594.97
PROD0015,Product 15,Software,830.49,1807.37
PROD0016,Product 16,Electronics,187.57,336.21
PROD0017,Product 17,Office Supplies,92.91,161.75
PROD0018,Product 18,Accessories,601.98,983.23
PROD0019,Product 19,Electronics,551.3,760.53
PROD0020,Product 20,Accessories,858.75,1633.26
PROD0021,Product 21,Electronics,819.56,1359.86
PROD0022,Product 22,Furniture,684.51,1463.4
PROD0023,Product 23,Furniture,56.48,122.38
PROD0024,Product 24,Software,453.13,896.86
PROD0025,Product 25,Electronics,810.65,1200.06
PROD0026,Product 26,Electronics,412.94,797.05
PROD0027,Product 27,Software,867.45,1101.14
PROD0028,Product 28,Electronics,601.14,1223.37
PROD0029,Product 29,Accessories,134.13,230.56
PROD0030,Product 30,Office Supplies,477.97,1022.81
PROD0031,Product 31,Office Supplies,638.23,1026.83
PROD0032,Product 32,Accessories,96.22,144.33
PROD0033,Product 33,Accessories,336.4,738.5
PROD0034,Product 34,Electronics,656.69,1151.93
PROD0035,Product 35,Software,175.08,362.42
PROD0036,Product 36,Software,339.57,718.36
PROD0037,Product 37,Software,633.32,1103.59
PROD0038,Product 38,Office Supplies,706.97,1189.78
PROD0039,Product 39,Office Supplies,485.92,862.63
PROD0040,Product 40,Office Supplies,862.9,1773.56
PROD0041,Product 41,Electronics,835.78,1810.66
PROD0042,Product 42,Office Supplies,447.16,698.42
PROD0043,Product 43,Office Supplies,177.84,347.09
PROD0044,Product 44,Office Supplies,704.72,1071.95
PROD0045,Product 45,Furniture,249.1,455.95
PROD0046,Product 46,Furniture,764.83,1540.79
PROD0047,Product 47,Office Supplies,544.94,1140.1
PROD0048,Product 48,Furniture,378.92,635.18
PROD0049,Product 49,Software,518.49,830.24
PROD0050,Product 50,Accessories,498.22,742.74
PROD0051,Product 51,Electronics,835.27,1149.95
PROD0052,Product 52,Electronics,224.35,358.21
PROD0053,Product 53,Office Supplies,838.22,1742.14
PROD0054,Product 54,Furniture,66.95,110.32
PROD0055,Product 55,Accessories,701.51,1088.34
PROD0056,Product 56,Electronics,830.91,1622.08
PROD0057,Product 57,Electronics,378.88,551.2
PROD0058,Product 58,Furniture,102.84,153.59
PROD0059,Product 59,Accessories,732.01,1565.85
PROD0060,Product 60,Software,764.86,1015.36
PROD0061,Product 61,Software,329.18,541.14
PROD0062,Product 62,Office Supplies,485.99,873.77
PROD0063,Product 63,Accessories,736.14,1081.2
PROD0064,Product 64,Electronics,205.16,311.22
PROD0065,Product 65,Office Supplies,580.92,848.58
PROD0066,Product 66,Software,410.34,647.49
PROD0067,Product 67,Furniture,190.0,399.68
PROD0068,Product 68,Software,755.04,1253.37
PROD0069,Product 69,Electronics,319.23,525.75
PROD0070,Product 70,Electronics,843.61,1364.33
PROD0071,Product 71,Office Supplies,529.28,1146.37
PROD0072,Product 72,Software,482.48,656.86
PROD0073,Product 73,Furniture,404.04,839.71
PROD0074,Product 74,Accessories,384.58,600.25
PROD0075,Product 75,Electronics,743.45,1604.88
PROD0076,Product 76,Accessories,622.65,964.77
PROD0077,Product 77,Office Supplies,705.37,937.25
