TargetDate,Region,SalesTarget
2023-01-01,North,171174.49
2023-01-01,South,161734.86
2023-01-01,East,160827.25
2023-01-01,West,113349.65
2023-01-01,Central,106381.03
2023-02-01,North,141512.19
2023-02-01,South,144975.49
2023-02-01,East,161028.35
2023-02-01,West,101006.96
2023-02-01,Central,111109.49
2023-03-01,North,148335.77
2023-03-01,South,157189.91
2023-03-01,East,134699.84
2023-03-01,West,92571.16
2023-03-01,Central,168196.11
2023-04-01,North,103962.39
2023-04-01,South,113198.46
2023-04-01,East,113004.3
2023-04-01,West,120814.18
2023-04-01,Central,137364.7
2023-05-01,North,148977.86
2023-05-01,South,85571.41
2023-05-01,East,137801.03
2023-05-01,West,96725.1
2023-05-01,Central,163821.15
2023-06-01,North,81026.01
2023-06-01,South,177964.18
2023-06-01,East,107681.77
2023-06-01,West,170310.11
2023-06-01,Central,113510.79
2023-07-01,North,119785.25
2023-07-01,South,126986.66
2023-07-01,East,145681.19
2023-07-01,West,148739.55
2023-07-01,Central,123172.51
2023-08-01,North,156971.4
2023-08-01,South,108652.86
2023-08-01,East,146252.89
2023-08-01,West,170074.44
2023-08-01,Central,116987.48
2023-09-01,North,158961.27
2023-09-01,South,112114.6
2023-09-01,East,110957.43
2023-09-01,West,170426.36
2023-09-01,Central,95169.92
2023-10-01,North,80673.09
2023-10-01,South,114240.47
2023-10-01,East,133085.24
2023-10-01,West,105197.34
2023-10-01,Central,178667.59
2023-11-01,North,139957.44
2023-11-01,South,159470.88
2023-11-01,East,159543.45
2023-11-01,West,158983.15
2023-11-01,Central,90275.76
2023-12-01,North,130303.82
2023-12-01,South,145873.55
2023-12-01,East,93228.68
2023-12-01,West,129942.96
2023-12-01,Central,142298.9
2024-01-01,North,119631.14
2024-01-01,South,138941.74
2024-01-01,East,150035.53
2024-01-01,West,175345.29
2024-01-01,Central,153664.24
2024-02-01,North,163847.45
2024-02-01,South,132767.23
2024-02-01,East,147032.27
2024-02-01,West,97448.28
2024-02-01,Central,178300.84
2024-03-01,North,167087.97
2024-03-01,South,168522.36
2024-03-01,East,84889.78
2024-03-01,West,114349.62
2024-03-01,Central,100870.21
2024-04-01,North,122746.8
2024-04-01,South,136618.36
2024-04-01,East,150192.16
2024-04-01,West,91195.3
2024-04-01,Central,162278.82
2024-05-01,North,122659.05
2024-05-01,South,128431.21
2024-05-01,East,87310.54
2024-05-01,West,145060.32
2024-05-01,Central,152160.68
2024-06-01,North,168592.85
2024-06-01,South,101862.22
2024-06-01,East,110285.21
2024-06-01,West,91114.69
2024-06-01,Central,151734.5
2024-07-01,North,167334.96
2024-07-01,South,166348.71
2024-07-01,East,163215.57
2024-07-01,West,94331.03
2024-07-01,Central,167059.73
2024-08-01,North,96244.0
2024-08-01,South,132641.65
2024-08-01,East,176819.04
2024-08-01,West,173848.28
2024-08-01,Central,86700.89
2024-09-01,North,173014.02
2024-09-01,South,105871.26
2024-09-01,East,175510.38
2024-09-01,West,82405.42
2024-09-01,Central,81699.58
2024-10-01,North,151043.33
2024-10-01,South,91228.0
2024-10-01,East,96178.48
2024-10-01,West,173754.93
2024-10-01,Central,137373.71
2024-11-01,North,89953.49
2024-11-01,South,151873.75
2024-11-01,East,135239.34
2024-11-01,West,107308.2
2024-11-01,Central,146888.36
2024-12-01,North,173239.86
2024-12-01,South,164186.1
2024-12-01,East,143713.34
2024-12-01,West,118671.23
2024-12-01,Central,156629.16
2025-01-01,North,121130.17
2025-01-01,South,154086.06
2025-01-01,East,122619.96
2025-01-01,West,95635.45
2025-01-01,Central,131391.22
2025-02-01,North,85862.24
2025-02-01,South,86066.46
2025-02-01,East,163809.02
2025-02-01,West,164411.21
2025-02-01,Central,96806.7
2025-03-01,North,124775.89
2025-03-01,South,85652.11
2025-03-01,East,169672.97
2025-03-01,West,145601.28
2025-03-01,Central,173629.46
2025-04-01,North,165930.8
2025-04-01,South,119915.69
2025-04-01,East,175491.13
2025-04-01,West,97570.57
2025-04-01,Central,130407.8
2025-05-01,North,99682.87
2025-05-01,South,168715.84
2025-05-01,East,155919.58
2025-05-01,West,168090.41
2025-05-01,Central,82737.68
2025-06-01,North,83615.91
2025-06-01,South,98642.98
2025-06-01,East,174111.53
2025-06-01,West,172271.7
2025-06-01,Central,170683.18
2025-07-01,North,86758.32
2025-07-01,South,146174.89
2025-07-01,East,150774.45
2025-07-01,West,98546.43
2025-07-01,Central,92269.84
2025-08-01,North,148466.69
2025-08-01,South,116537.71
2025-08-01,East,91986.23
2025-08-01,West,152003.85
2025-08-01,Central,87771.34
2025-09-01,North,179893.55
2025-09-01,South,121601.57
2025-09-01,East,173894.78
2025-09-01,West,159839.37
2025-09-01,Central,146684.45
2025-10-01,North,177385.73
2025-10-01,South,131939.53
2025-10-01,East,80408.9
2025-10-01,West,94887.92
2025-10-01,Central,125212.09
2025-11-01,North,171814.25
2025-11-01,South,141676.76
2025-11-01,East,118468.98
2025-11-01,West,163946.32
2025-11-01,Central,159509.1
2025-12-01,North,141498.79
2025-12-01,South,91556.79
2025-12-01,East,92684.87
2025-12-01,West,152624.65
2025-12-01,Central,97758.74
